Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
515;4439627000102;ALLIANZ SADE S/A;;Seguradora Especializada em Sade;RUA EUGNIO DE MEDEIROS;303;7 ANDAR - PARTE;PINHEIROS;So Paulo;SP;5425000;11.0;40015060.0;;compliance@allianz.com.br;REGINA HELENA MENEZES LOPES;DIRETORA;4.0;2001-08-06
423262;45568546000181;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;ALMA ODONTO;Odontologia de Grupo;RUA REGENTE FEIJO;712.0;SALA 93 EDIF JOAO PUPO;CENTRO;Campinas;SP;13013050;19.0;31994536.0;;financeiro@almaodonto.com.br;RONYSON RODRIGUES RAMOS DE OLIVEIRA;SCIO ADMINISTRADOR;;2022-05-30
419982;20459346000160;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;AVENIDA DAS SIBIPIRUNAS;2656;1 ANDAR, SALA 03;SETOR COMERCIAL SUL;Sinop;MT;78550029;66.0;35310070.0;;;"IVAN DALL"" STELLA COSTA JNIOR";SCIO GERENTE;5.0;2015-12-09
420255;22103116000199;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de Benefcios;Alameda Santos;2441;4 andar, cjs 41 e 42, sala 01;Cerqueira Csar;So Paulo;SP;1419101;11.0;39952217.0;;dpo@alter.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;ADMINISTRADOR;5.0;2016-10-25
344800;62511019000150;ALVORECER - ASSOCIAO DE SOCORROS MTUOS;ALVORECER;Medicina de Grupo;ALAMEDA SANTOS;1827;11 ANDAR SALA 111;CERQUEIRA CESAR;So Paulo;SP;1419909;11.0;30169409.0;;regulatorio@bluemedsaude.com.br;SILVIO JOS FERRAZ TAVARES;PRESIDENTE;4.0;1999-01-15
424234;56307500000125;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362;21.0;999434833.0;;leonardo@unimedicasaude.com;ADEBEEL DE SOUSA AVES;SOCIO ADMINISTRADOR;;2024-12-02
419052;16926969000128;AMAZNIA PLANOS DE SADE LTDA;PLANO AMAZNIA SADE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SO BRAZ;Belm;PA;66060575;91.0;31847650.0;32495686.0;amasaude@amazoniaplanos.com.br;GILBERTO OSAMU YAMAMOTO;REPRESENTANTE LEGAL;6.0;2013-10-03
423351;46614535000153;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo;AVENIDA CALAMA;2715;SALA 2715C;LIBERDADE ;Porto Velho;RO;76803883;69.0;93324444.0;;financeiro@operadoravivavida.com.br;ROMILDA VIANA DE PAES;SOCIO - ADMINISTRADOR;;2022-10-03
304531;17143876000190;AME-ASSISTNCIA MDICA A EMPRESAS LTDA;AME-SISTEMA DE SADE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32.0;21015600.0;32155201.0;amesaude24h@terra.com.br;REGINA MARIA AGUIAR DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;6.0;1998-12-22
413330;4257073000114;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21.0;39104000.0;;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;4.0;2001-03-16
394734;67839969000121;AMEPLAN ASSISTNCIA MDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3 ANDAR;VILA GEA;So Paulo;SP;4692010;11.0;33219700.0;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SCIO DIRETOR;2.0;1998-12-24
321338;84638345000165;AMERON - ASSISTNCIA MDICA RONDNIA S/A.;AMERON;Medicina de Grupo;AVENIDA CALAMA;2615;PRDIO;LIBERDADE;Porto Velho;RO;76803884;69.0;32117199.0;32217157.0;ouvidoria@ameron.com.br;PAULO ROBERTO DA SILVA;PRESIDENTE;5.0;1998-12-22
401081;68668045000172;AMESC - ASSOCIAO MDICA ESPRITA CRIST;GRUPO CEMERU SADE;Medicina de Grupo;RUA FELIPE CARDOSO;1025;;SANTA CRUZ;Rio de Janeiro;RJ;23510006;21.0;24140013.0;;relacionamento.ans@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;4.0;1999-02-24
418587;15131148000132;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO;141;1 ANDAR;VILA SANTISTA;Atibaia;SP;12941030;;;;marcos.carvalho@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;5.0;2012-10-08
421731;29174910000172;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOS SENGER;230;;VILA HARO;Sorocaba;SP;18015000;15.0;30351030.0;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;6.0;2019-06-13
326305;29309127000179;AMIL ASSISTNCIA MDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Avenida Doutor Chucri Zaidan ;S/ N;6, 7, 8 ,9, 16, 20 e 23  andares ;VILA FRANCISCO;So Paulo;SP;4711130;21.0;38054491.0;38051088.0;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;1.0;1998-12-17
325465;20946877000187;AMPARA ASSISTNCIA MDICA PARASO LTDA;AMPARA ;Medicina de Grupo;P COMENDADOR JOO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;So Sebastio do Paraso;MG;37957148;35.0;35393636.0;35393600.0;ampara@ampara.com.br;ANTONIO CARLOS MAFFEI BRAGIATO;DIRETOR PRESIDENTE;5.0;1998-12-21
422720;41077489000187;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo;Av. Nilo Peanha;50;Grupo 2501;CENTRO;Rio de Janeiro;RJ;20020906;21.0;39235406.0;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;4.0;2021-04-06
423858;43047552000168;AMPLITUDE PLANOS DE SAUDE LTDA ;VYDA SAUDE;Medicina de Grupo;RUA INCONFIDNCIA ;488;SALA 201;CENTRO;Betim;MG;30411023;31.0;39235406.0;;amaral.diego@gmail.com;DIEGO ALVES AMARAL ;SOCIO ADMINISTRADOR ;6.0;2023-11-14
423319;45981176000100;ANAFE SAUDE;ANAFE SAUDE;Autogesto;QUADRA 02 LOTE 03 1 ANDAR PARTE ;9.0;JARDIM DA BARRAGEM I;JARDIM DA BARRAGEM I;guas Lindas de Gois;GO;72920004;;;;financeiro@anafesaude.com.br;FLAVIO MURILO PINTO SIVINI;DIRETOR- PRESIDENTE;;2022-08-26
421871;3013779000178;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRXIMA AO PRONTO SOCORRO;ARAATUBA;Campina Grande do Sul;PR;83430000;41.0;35154099.0;;atendimento@planodesaudeangeli.com.br;PEDRO ERNESTO CARON;Presidente;5.0;2021-07-29
424366;55081563000143;AP ADMINISTRAO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA;AP ADMINISTRAO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA;Administradora de Benefcios;Rua Sete de Abril;277.0;conjuntos 11 e 12;Centro;So Paulo;SP;1043000;11.0;33506000.0;;contato@apbeneficios.com.br;MIGUEL NOEL MEIRELLES;administrador;;2025-03-24
422932;35808498000106;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefcios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000;;;;contato@aplusadministradora.com.br;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;;2021-07-29
421693;30902499000193;AQQUER - ADMINISTRADORA DE BENEFCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de Benefcios;Rua Baro de Melgao;2754;Sala 406;Centro;Cuiab;MT;78020800;65.0;36244416.0;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;;2019-05-24
416070;17469701000177;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;Autogesto;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27.0;33481463.0;;beneficios@arcelormittal.com.br;PATRICIA GARIGLIO DAHER RAYA;GERENTE DE BENEFICIOS;6.0;2007-05-21
422941;41715325000138;ARL ADMINISTRADORA DE BENEFCIOS LTDA.;ARL ADMINISTRADORA DE BENEFCIOS;Administradora de Benefcios;Rua Visconde de Taunay;601.0;;Bom Retiro;So Paulo;SP;1132000;11.0;32252193.0;;paralegalarl@gmail.com;ALVARO ANTNIO REGIS LEMOS;Presidente;2.0;2021-08-11
352152;743507000135;ARM PLANOS ODONTOLGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA LOEFGREEN ;1291;CONJUNTO 62;VILA CLEMENTINO;So Paulo;SP;4040031;11.0;35155400.0;35155400.0;alexandre@armodonto.onmicrosoft.com;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;4.0;1998-12-21
424340;57267292000140;ARTYODONTO BRASIL  PLANO DE ASSISTNCIA ODONTOLGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo;AVENIDA PEDRO PAES DE AZEVEDO;615;LOJA 03;GRAGERU;Aracaju;SE;49025570;79.0;991300040.0;;artyodontobrasil@artyodontobrasil.com.br;HLCIO CASTRO PEREIRA;DIRETOR ADMINISTRATIVO E FINANCEIRO;;2025-02-17
417769;12080518000161;ASSISTE ADMINISTRADORA DE BENEFCIOS LTDA;ASSISTE ;Administradora de Benefcios;RUA JOO HIPLITO DE AZEVEDO;18;SALA 3 - TRREO;CENTRO;Conceio do Jacupe;BA;44245000;71.0;30381100.0;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SCIO-ADMINISTRADOR;5.0;2010-12-20
423912;53249803000140;ASSISTNCIA MDICA 12 DE OUTUBRO LTDA;;Medicina de Grupo;Rua Presidente Prudente;267;2 andar;Jardim So Paulo;Guarulhos;SP;7110140;11.0;49665132.0;;administrativo@12deoutubrosaude.com.br;GISELE ENCARNAO GUERRERO;Administradora;6.0;2024-03-04
325236;66854779000110;ASSISTNCIA MDICA SO MIGUEL LTDA;SO MIGUEL SADE;Medicina de Grupo;RUA LVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;So Paulo;SP;8010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;4.0;1998-12-21
365297;1872588000136;ASSISTNCIA ODONTOLGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;So Lus;MA;65070650;;;;planoriso@planoriso.com.br;MARCIA CHRISTINA VRAS BARBOSA;DIRETORA TCNICA;6.0;1998-12-22
423432;47325263000134;ASSOC DE ASSIST  SADE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SADE;Autogesto;Rua Bom Pastor;430.0;Sala 11;Iputinga;Recife;PE;50670260;81.0;86903080.0;;adufepesaude@gmail.com;JOS CRISTOVAM MARTINS VIEIRA ;presidente;;2022-12-27
409634;73565319000138;ASSOCIACAO CIVIL PR-SADE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;;;;administrador@prosaudeuepg.com.br;JEANE SILVANE ECKERT;REPRESENTANTE;6.0;1999-11-05
360783;59007799000190;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAO DE SADE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19.0;38022049.0;38022049.0;ash@holnet.com.br;MAURICIO FRANCISCO MARIA KIEVITSBOSCH;PRESIDENTE;5.0;1999-02-03
317632;62635990000191;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;Autogesto;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;So Paulo;SP;1401002;;;;ans@afresp.org.br;ALEXANDRE LANIA GONCALVES;2 TESOUREIRO;2.0;1998-12-16
343129;13100755000100;ASSOCIACAO DOS PROFESSORES UNIVERSITRIOS DA BAHIA;APUB SADE;Autogesto;AV. ANTONIO CARLOS MAGALHAES;3213;EDIFCIO GOLDEN PLAZA,  SALA 405 a 408;PARQUE BELA VISTA;Salvador;BA;40280000;71.0;21039200.0;32473381.0;apubsaude@apubsaude.com.br;SILVIA MARIA LEITE DE ALMEIDA;PRESIDENTE DO CONSELHO DELIBERATIVO ;5.0;1998-12-28
420093;13083167000105;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;Autogesto;AV DOUTOR CARLOS RODRIGUES DA CRUZ;401;;CAPUCHO;Aracaju;SE;49081015;79.0;32342692.0;32342692.0;assem@assemse.com.br;ELIAS FERNANDO GOES FELIPE;PRESIDENTE;6.0;2016-04-14
406635;71565659000133;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;Autogesto;RUA DR. COUTINHO;535;;CENTRO;Itapetininga;SP;18200358;15.0;34721800.0;;contato@apasitapetininga.com.br;CARLOS ROGRIO DE MORAIS;REPRESENTANTE;5.0;1999-07-21
410608;200720000109;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;Autogesto;RUA PIONEIRO JOS LORENCETE;420;;JARDIM BONGIOVANI;Presidente Prudente;SP;19050350;;;;apas@apasprudente.com.br;PATRCIA ELAINE MACHADO;DIRETORA-PRESIDENTE;5.0;2000-01-27
417599;92741016000173;ASSOCIAAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia;RUA DOS ANDRADAS;846;;CENTRO;Porto Alegre;RS;90020006;51.0;32841500.0;;najara.bandeira@afpergs.com.br;ROMEU FUCHS;Diretor Presidente;4.0;2010-09-28
333867;89761670000134;ASSOCIAAO UNISAUDE MARAU;UNISADE;Medicina de Grupo;AVENIDA JULIO BORELLA;1240;CONJUNTO 406;CENTRO;Marau;RS;99150000;54.0;33422179.0;33428002.0;gerencia@unisaudemarau.com.br;RUDIMAR LUIS RODEGHERO;DIRETOR GERAL;6.0;1998-12-31
406554;83367342000171;ASSOCIAO ADVENTISTA NORTE BRASILEIRA DE PREVENO E ASSISTNCIA A SADE;GARANTIA DE SADE - HOSPITAIS ADVENTISTA DE BELM E MANAUS;Filantropia;RODOVIA MARIO COVAS;400;;COQUEIRO;Ananindeua;PA;67110000;91.0;32144500.0;32451585.0;clairton@hab.org.br;JACKSON DOUGLAS DA SILVA FREIRE;GERENTE;5.0;1999-07-21
411752;3849449000117;ASSOCIAO ASSISTENCIAL DE SADE SUPLEMENTAR CRUZ AZUL SADE;CRUZ AZUL SADE;Medicina de Grupo;RUA ALBUQUERQUE MARANHO;72;;CAMBUCI;So Paulo;SP;1540020;11.0;33885000.0;33885010.0;diretoria@maisazulsaude.com.br;EDGAR CUCCOLO;REPRESENTANTE JUNTO  ANS;4.0;2000-07-21
322326;25335803000128;ASSOCIAO BENEFICENTE CATLICA;HOSPITAL SANTA ISABEL;Filantropia;RUA FREI CORNELIO;200;;LAURINDO DE CASTRO;Ub;MG;36500000;32.0;35391034.0;;planosaude@santaisabelsaude.com.br;FABIANO DOS SANTOS;PRESIDENTE;3.0;1998-12-29
304131;2030246000131;ASSOCIAO BENEFICENTE DE ASSISTNCIA A SADE DOS JUZES DO TRABALHO DA 15 REGIO (ABAS 15);SADE ABAS;Autogesto;RUA BARO DE JAGUARA;707;10 ANDAR / SALAS 101/104 - BLOCO MOZART;CENTRO;Campinas;SP;13015926;19.0;37335060.0;;falecom@abas15.org.br;EINSTEIN ROMERO DURES;REPRESENTANTE LEGAL;1.0;1998-12-22
382540;31240963000196;ASSOCIAO BENEFICENTE DOS PROFESSORES PBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;APPAI;Medicina de Grupo;RUA SENADOR DANTAS;117;SLJ 211,212,213;CENTRO;Rio de Janeiro;RJ;20034900;21.0;31473242.0;25320563.0;appai@appai.org.br;JULIO CESAR DA COSTA;DIRETOR PRESIDENTE;4.0;1999-01-19
417947;10935483000170;ASSOCIAO DA SANTA CASA SADE DE RIBEIRO PRETO;SANTA CASA SADE DE RIBEIRO PRETO;Medicina de Grupo;AVENIDA MEIRA JUNIOR;585;;CAMPOS ELISEOS;Ribeiro Preto;SP;14085230;;;;regulacao@santacasasauderp.com.br;FERNANDO DE TORO DIAZ;PRESIDENTE DO CONSELHO DE ADMINISTRAO;5.0;2011-03-31
417955;7945024000162;ASSOCIAO DE ASSISTNCIA MDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARAN;JUDICEMED;Autogesto;RUA ALBERTO FOLLONI;543;;AH;Curitiba;PR;80540000;41.0;30171600.0;30171601.0;JUDICEMED@JUDICEMED.COM.BR;MARCEL FERREIRA DOS SANTOS;REPRESENTANTE LEGAL;3.0;2011-03-31
416690;7781345000179;ASSOCIAO DE ASSISTNCIA  SADE DA AMAGIS;AMAGIS SADE;Autogesto;RUA ALBITA;194;6 ANDAR;BAIRRO CRUZEIRO;Belo Horizonte;MG;30310160;31.0;30793479.0;32233683.0;saude@amagis.com.br;FLVIA BIRCHAL DE MOURA;Vice-Presidente de Sade;3.0;2008-06-30
416568;8202035000115;ASSOCIAO DE ASSISTNCIA  SADE DOS EMPREGADOS DA COPASA;COPASS SADE;Autogesto;RUA CARANGOLA;531;;SANTO ANTNIO;Belo Horizonte;MG;30330240;31.0;32985820.0;32985801.0;copass@copass-saude.com.br;OMAR DE CARVALHO GOMES FILHO;REPRESENTANTE E SUPER EXECUTIV;4.0;2008-02-18
